Charging Start Time,Charging Duration (minutes),Energy Delivered (kWh)
2025-11-14T13:09:04-05:00,192.03333333333333,30.1
2025-11-14T17:57:29-05:00,193.33333333333334,31.2
2025-11-14T21:30:54-05:00,243.6,39.2
2025-11-15T08:08:10-05:00,93.8,10.0
2025-11-15T10:19:55-05:00,47.86666666666667,7.7
2025-11-15T11:47:57-05:00,205.66666666666666,33.1
2025-11-15T16:53:55-05:00,127.5,14.1
2025-11-15T19:16:18-05:00,292.9,47.1
2025-11-16T00:53:48-05:00,225.08333333333334,36.6
2025-11-16T05:38:32-05:00,242.43333333333334,39.1
2025-11-16T11:01:28-05:00,140.18333333333334,15.3
2025-11-16T14:43:44-05:00,183.76666666666668,29.9
2025-11-16T17:57:25-05:00,170.31666666666666,9.2
2025-11-16T21:22:18-05:00,483.81666666666666,40.5
2025-11-17T08:13:43-05:00,30.816666666666666,5.0
2025-11-17T08:55:00-05:00,110.5,17.8
2025-11-17T11:02:09-05:00,336.2,48.2
2025-11-17T17:33:54-05:00,112.48333333333333,11.8
2025-11-17T19:43:26-05:00,186.5,20.6
2025-11-17T23:00:18-05:00,504.4166666666667,41.4
2025-11-18T09:33:02-05:00,96.03333333333333,15.5
2025-11-18T11:26:22-05:00,148.56666666666666,23.9
2025-11-18T17:02:43-05:00,145.5,23.3
2025-11-18T19:49:00-05:00,262.03333333333336,42.3
2025-11-19T01:05:23-05:00,340.8666666666667,27.8
2025-11-19T13:19:29-05:00,56.3,9.1
2025-11-19T17:41:17-05:00,132.21666666666667,12.8
2025-11-19T20:11:50-05:00,138.68333333333334,20.4
2025-11-19T23:13:15-05:00,416.76666666666665,57.9
2025-11-20T09:23:24-05:00,181.96666666666667,29.2
2025-11-20T12:26:17-05:00,309.15,49.7
2025-11-21T09:26:17-05:00,111.9,14.9
2025-11-21T12:18:22-05:00,289.65,38.0
2025-11-21T17:26:23-05:00,168.88333333333333,27.3
2025-11-21T20:27:26-05:00,169.8,21.9
2025-11-22T06:09:59-05:00,181.36666666666667,15.0
2025-11-22T09:13:58-05:00,97.1,15.5
2025-11-22T12:03:25-05:00,96.65,10.3
2025-11-22T14:08:13-05:00,203.25,32.9
2025-11-22T18:04:31-05:00,514.0666666666667,56.4
2025-11-23T08:03:26-05:00,199.76666666666668,31.9
2025-11-23T11:28:38-05:00,160.3,25.6
2025-11-23T14:30:57-05:00,176.98333333333332,9.5
2025-11-23T17:44:38-05:00,185.85,30.1
2025-11-23T22:30:20-05:00,71.11666666666666,11.4
2025-11-24T06:00:10-05:00,157.05,20.3
2025-11-24T08:54:00-05:00,178.15,14.7
2025-11-24T12:03:26-05:00,187.3,29.9
2025-11-24T15:54:58-05:00,193.11666666666667,25.8
2025-11-24T19:09:56-05:00,155.78333333333333,24.6
2025-11-24T22:27:05-05:00,180.61666666666667,23.6
2025-11-25T07:33:42-05:00,83.55,13.3
2025-11-25T10:11:18-05:00,122.6,19.6
2025-11-25T12:48:46-05:00,127.81666666666666,20.4
2025-11-25T16:01:38-05:00,101.2,8.4
2025-11-25T18:30:30-05:00,431.8666666666667,35.4
2025-11-26T11:13:46-05:00,304.76666666666665,32.1
2025-11-27T02:03:06-05:00,612.0833333333334,50.7
2025-11-27T12:50:36-05:00,72.98333333333333,7.1
2025-11-27T16:19:10-05:00,149.18333333333334,24.0
2025-11-27T19:07:48-05:00,185.58333333333334,24.0
2025-11-28T09:12:25-05:00,100.01666666666667,5.6
2025-11-28T16:15:50-05:00,167.71666666666667,14.0
2025-11-28T19:06:13-05:00,190.45,31.0
2025-11-28T22:43:16-05:00,100.21666666666667,16.3
2025-11-29T08:37:28-05:00,120.03333333333333,9.9
2025-11-29T11:48:00-05:00,176.93333333333334,28.3
2025-11-29T16:52:20-05:00,80.56666666666666,7.2
2025-11-29T18:32:04-05:00,85.88333333333334,13.8
2025-11-29T21:34:53-05:00,200.81666666666666,32.8
2025-11-30T11:34:27-05:00,68.68333333333334,5.7
2025-11-30T12:51:12-05:00,217.2,34.8
2025-11-30T16:30:34-05:00,172.46666666666667,9.4
2025-11-30T19:40:41-05:00,82.28333333333333,8.0
2025-11-30T21:16:21-05:00,19.716666666666665,3.1
2025-12-01T01:46:41-05:00,374.6666666666667,30.8
2025-12-01T08:33:58-05:00,194.51666666666668,31.0
2025-12-01T12:06:14-05:00,72.36666666666666,11.5
2025-12-01T13:32:01-05:00,118.75,19.0
2025-12-01T15:53:51-05:00,210.68333333333334,33.9
2025-12-01T20:12:36-05:00,578.2166666666667,48.0
2025-12-02T07:55:32-05:00,137.31666666666666,21.8
2025-12-02T11:13:01-05:00,153.61666666666667,24.5
2025-12-02T14:21:14-05:00,100.06666666666666,16.1
2025-12-02T16:28:11-05:00,167.08333333333334,18.4
2025-12-02T19:22:34-05:00,527.0833333333334,43.2
2025-12-03T06:28:16-05:00,154.28333333333333,24.8
2025-12-03T10:37:17-05:00,195.28333333333333,31.3
2025-12-03T15:06:35-05:00,102.76666666666667,12.8
2025-12-03T17:19:51-05:00,313.1333333333333,50.7
2025-12-03T22:50:31-05:00,163.2,20.4
2025-12-04T01:57:07-05:00,379.78333333333336,31.5
2025-12-04T10:52:32-05:00,82.98333333333333,13.3
2025-12-04T12:18:04-05:00,169.08333333333334,27.0
2025-12-04T15:11:22-05:00,77.9,9.1
2025-12-04T17:31:33-05:00,210.41666666666666,33.9
2025-12-04T22:31:35-05:00,79.83333333333333,12.9
2025-12-05T01:26:55-05:00,346.15,41.7
2025-12-05T09:22:51-05:00,273.45,22.4
2025-12-05T17:05:08-05:00,20.583333333333332,3.3
2025-12-05T17:32:19-05:00,133.36666666666667,11.2
2025-12-05T19:49:01-05:00,1.0833333333333333,0.1
2025-12-05T19:50:42-05:00,179.83333333333334,29.1
2025-12-05T23:39:47-05:00,131.83333333333334,21.2
2025-12-06T06:03:33-05:00,293.6166666666667,31.6
2025-12-06T13:05:57-05:00,230.4,25.3
2025-12-06T17:39:15-05:00,275.28333333333336,38.7
2025-12-06T23:00:34-05:00,290.5833333333333,30.8
2025-12-07T07:03:47-05:00,179.16666666666666,28.6
2025-12-07T10:49:58-05:00,1.1333333333333333,0.1
2025-12-07T11:35:12-05:00,181,28.9
2025-12-07T14:44:06-05:00,201.33333333333334,27.3
2025-12-07T18:21:57-05:00,379.85,44.6
2025-12-08T00:48:08-05:00,134.1,21.7
2025-12-08T06:14:52-05:00,197.25,16.5
2025-12-08T09:33:49-05:00,311.6333333333333,25.5
2025-12-08T14:55:34-05:00,201.45,15.9
2025-12-08T18:21:49-05:00,187.93333333333334,26.6
2025-12-08T21:37:04-05:00,161.7,26.1
2025-12-09T00:23:48-05:00,200.75,16.6
2025-12-09T03:46:47-05:00,295.21666666666664,47.2
2025-12-09T10:43:16-05:00,244.35,33.6
2025-12-09T16:50:04-05:00,178.46666666666667,28.7
2025-12-09T20:03:40-05:00,186.23333333333332,30.3
2025-12-10T00:23:05-05:00,479.8666666666667,68.1
2025-12-10T10:14:04-05:00,187.36666666666667,30.1
2025-12-10T15:07:09-05:00,180.45,28.9
2025-12-10T18:09:06-05:00,141.16666666666666,15.5
2025-12-10T21:08:17-05:00,50.516666666666666,8.1
2025-12-10T22:48:36-05:00,360.43333333333334,58.8
2025-12-11T07:38:19-05:00,141.9,13.8
2025-12-11T10:12:40-05:00,200.3,32.2
2025-12-11T16:14:02-05:00,194.9,31.6
2025-12-11T19:35:30-05:00,0.8333333333333334,0.1
2025-12-11T19:37:25-05:00,214.53333333333333,34.8
